track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Listowel Racing Results | 3rd June 2024 17:20,N/A,17:20,Good To Yielding  Flat (Turf),2m 4f,Road To Home (IRE),Mr Alan O'Sullivan,7,E M O'Sullivan,1st,N/A,5,11-7,-,True,121,6
Listowel Racing Results | 3rd June 2024 17:20,N/A,17:20,Good To Yielding  Flat (Turf),2m 4f,D Journey Man (IRE),P Hanlon,7,J J Hanlon,PU,N/A,5,11-7,-,True,121,6
Listowel Racing Results | 3rd June 2024 17:20,N/A,17:20,Good To Yielding  Flat (Turf),2m 4f,Imperial Chief (IRE),Mr S Tobin,7,P C O'Connor,7th,33 l,7,11-7,-,True,121,6
Listowel Racing Results | 3rd June 2024 17:20,N/A,17:20,Good To Yielding  Flat (Turf),2m 4f,Youre A Derry Girl (IRE),Miss E Cody,7,S G Walsh,6th,2 3/4 l,7,11-7,-,True,121,6
Listowel Racing Results | 3rd June 2024 17:20,N/A,17:20,Good To Yielding  Flat (Turf),2m 4f,Moulane A Chroi (IRE),Mr J C Canavan,7,R A Foley,5th,3 1/4 l,5,11-7,-,True,121,6
Listowel Racing Results | 3rd June 2024 17:20,N/A,17:20,Good To Yielding  Flat (Turf),2m 4f,Jumble Light (FR),Mr A P Ryan,7,John Hayes,4th,13 l,5,11-7,-,True,121,6
Listowel Racing Results | 3rd June 2024 17:20,N/A,17:20,Good To Yielding  Flat (Turf),2m 4f,Therellbguddaysyet (IRE),Mr M J O'Connor,0,M J O'Connor,3rd,2 1/2 l,8,11-7,-,True,121,6
Listowel Racing Results | 3rd June 2024 17:20,N/A,17:20,Good To Yielding  Flat (Turf),2m 4f,Mazyad (IRE),Mr J L Gleeson,5,J P O'Brien,2nd,2 3/4 l,6,12-0t,-,True,121,6
Listowel Racing Results | 3rd June 2024 17:20,N/A,17:20,Good To Yielding  Flat (Turf),2m 4f,Road To Home (IRE),Mr Alan O'Sullivan,7,E M O'Sullivan,1st,N/A,5,11-7,-,True,121,6
Curragh Racing Results | 5th June 2024 16:50,N/A,16:50,Good (Good To Firm In Places)  (Turf),7f,Hill Road (USA),D Egan,0,A Murray,NR,N/A,2,9-5,-,True,121,7
Curragh Racing Results | 5th June 2024 16:50,N/A,16:50,Good (Good To Firm In Places)  (Turf),7f,Tilani (IRE),R P Whelan,0,M Halford & T Collins,9th,2 l,2,9-5,-,True,121,7
Curragh Racing Results | 5th June 2024 16:50,N/A,16:50,Good (Good To Firm In Places)  (Turf),7f,Dance For Chester (IRE),W Joyce,5,M Mulvany,8th,4 1/2 l,2,9-5,-,True,121,7
Curragh Racing Results | 5th June 2024 16:50,N/A,16:50,Good (Good To Firm In Places)  (Turf),7f,Native Honey (IRE),R P Cleary,0,J S Bolger,7th,3 1/4 l,2,9-5,-,True,121,7
Curragh Racing Results | 5th June 2024 16:50,N/A,16:50,Good (Good To Firm In Places)  (Turf),7f,Rhodreego (IRE),O McSweeney,3,D Dias,6th,Neck,2,9-5,-,True,121,7
Curragh Racing Results | 5th June 2024 16:50,N/A,16:50,Good (Good To Firm In Places)  (Turf),7f,Drivers Seat,D McMonagle,0,J P O'Brien,5th,2 l,2,9-5,-,True,121,7
Curragh Racing Results | 5th June 2024 16:50,N/A,16:50,Good (Good To Firm In Places)  (Turf),7f,Yamal (IRE),C T Keane,0,G M Lyons,4th,1/2 l,2,9-5,-,True,121,7
Curragh Racing Results | 5th June 2024 16:50,N/A,16:50,Good (Good To Firm In Places)  (Turf),7f,Swagman (GER),R L Moore,0,A P O'Brien,3rd,3 l,2,9-5,-,True,121,7
Curragh Racing Results | 5th June 2024 16:50,N/A,16:50,Good (Good To Firm In Places)  (Turf),7f,Mount Parnassus (IRE),G M Ryan,0,Donnacha O'Brien,2nd,1 1/4 l,2,9-5b1,-,True,121,7
Curragh Racing Results | 5th June 2024 16:50,N/A,16:50,Good (Good To Firm In Places)  (Turf),7f,Hotazhell,S Foley,0,Mrs J Harrington,1st,N/A,2,9-5,-,True,121,7
Curragh Racing Results | 5th June 2024 16:50,N/A,16:50,Good (Good To Firm In Places)  (Turf),7f,Hill Road (USA),D Egan,0,A Murray,NR,N/A,2,9-5,-,True,121,7
Curragh Racing Results | 5th June 2024 16:50,N/A,16:50,Good (Good To Firm In Places)  (Turf),7f,Tilani (IRE),R P Whelan,0,M Halford & T Collins,9th,2 l,2,9-5,-,True,121,7
Curragh Racing Results | 5th June 2024 16:50,N/A,16:50,Good (Good To Firm In Places)  (Turf),7f,Dance For Chester (IRE),W Joyce,5,M Mulvany,8th,4 1/2 l,2,9-5,-,True,121,7
Curragh Racing Results | 5th June 2024 16:50,N/A,16:50,Good (Good To Firm In Places)  (Turf),7f,Native Honey (IRE),R P Cleary,0,J S Bolger,7th,3 1/4 l,2,9-5,-,True,121,7
Curragh Racing Results | 5th June 2024 16:50,N/A,16:50,Good (Good To Firm In Places)  (Turf),7f,Rhodreego (IRE),O McSweeney,3,D Dias,6th,Neck,2,9-5,-,True,121,7
Curragh Racing Results | 5th June 2024 16:50,N/A,16:50,Good (Good To Firm In Places)  (Turf),7f,Drivers Seat,D McMonagle,0,J P O'Brien,5th,2 l,2,9-5,-,True,121,7
Curragh Racing Results | 5th June 2024 16:50,N/A,16:50,Good (Good To Firm In Places)  (Turf),7f,Yamal (IRE),C T Keane,0,G M Lyons,4th,1/2 l,2,9-5,-,True,121,7
Curragh Racing Results | 5th June 2024 16:50,N/A,16:50,Good (Good To Firm In Places)  (Turf),7f,Swagman (GER),R L Moore,0,A P O'Brien,3rd,3 l,2,9-5,-,True,121,7
Curragh Racing Results | 5th June 2024 16:50,N/A,16:50,Good (Good To Firm In Places)  (Turf),7f,Mount Parnassus (IRE),G M Ryan,0,Donnacha O'Brien,2nd,1 1/4 l,2,9-5b1,-,True,121,7
Curragh Racing Results | 5th June 2024 16:50,N/A,16:50,Good (Good To Firm In Places)  (Turf),7f,Hotazhell,S Foley,0,Mrs J Harrington,1st,N/A,2,9-5,-,True,121,7
Curragh Racing Results | 5th June 2024 17:20,N/A,17:20,Good (Good To Firm In Places),6f,This Ain't Texas,W J Lee,0,D Marnane,NR,N/A,2,9-5,-,True,121,8
Curragh Racing Results | 5th June 2024 17:20,N/A,17:20,Good (Good To Firm In Places),6f,Karazhal (IRE),R P Whelan,0,M Halford & T Collins,7th,3 3/4 l,2,9-5,-,True,121,8
Curragh Racing Results | 5th June 2024 17:20,N/A,17:20,Good (Good To Firm In Places),6f,Sea Fort,R C Colgan,0,S Lavery,6th,1/2 l,2,9-5,-,True,121,8
Curragh Racing Results | 5th June 2024 17:20,N/A,17:20,Good (Good To Firm In Places),6f,Besiege (IRE),A J Slattery,0,J Halley,5th,1 3/4 l,2,9-5,-,True,121,8
Curragh Racing Results | 5th June 2024 17:20,N/A,17:20,Good (Good To Firm In Places),6f,Zambales,C T Keane,0,G M Lyons,4th,4 l,2,9-5,-,True,121,8
Curragh Racing Results | 5th June 2024 17:20,N/A,17:20,Good (Good To Firm In Places),6f,Girl Like You (USA),D McMonagle,0,J P O'Brien,3rd,Nose,2,9-0,-,True,121,8
Curragh Racing Results | 5th June 2024 17:20,N/A,17:20,Good (Good To Firm In Places),6f,Mighty Eriu (IRE),G F Carroll,0,G P Cromwell,2nd,2 3/4 l,2,9-0,-,True,121,8
Curragh Racing Results | 5th June 2024 17:20,N/A,17:20,Good (Good To Firm In Places),6f,Tunbridge Wells (IRE),R L Moore,0,A P O'Brien,1st,N/A,2,9-5,-,True,121,8
Curragh Racing Results | 5th June 2024 17:20,N/A,17:20,Good (Good To Firm In Places),6f,This Ain't Texas,W J Lee,0,D Marnane,NR,N/A,2,9-5,-,True,121,8
Curragh Racing Results | 5th June 2024 17:20,N/A,17:20,Good (Good To Firm In Places),6f,Karazhal (IRE),R P Whelan,0,M Halford & T Collins,7th,3 3/4 l,2,9-5,-,True,121,8
Curragh Racing Results | 5th June 2024 17:20,N/A,17:20,Good (Good To Firm In Places),6f,Sea Fort,R C Colgan,0,S Lavery,6th,1/2 l,2,9-5,-,True,121,8
Curragh Racing Results | 5th June 2024 17:20,N/A,17:20,Good (Good To Firm In Places),6f,Besiege (IRE),A J Slattery,0,J Halley,5th,1 3/4 l,2,9-5,-,True,121,8
Curragh Racing Results | 5th June 2024 17:20,N/A,17:20,Good (Good To Firm In Places),6f,Zambales,C T Keane,0,G M Lyons,4th,4 l,2,9-5,-,True,121,8
Curragh Racing Results | 5th June 2024 17:20,N/A,17:20,Good (Good To Firm In Places),6f,Girl Like You (USA),D McMonagle,0,J P O'Brien,3rd,Nose,2,9-0,-,True,121,8
Curragh Racing Results | 5th June 2024 17:20,N/A,17:20,Good (Good To Firm In Places),6f,Mighty Eriu (IRE),G F Carroll,0,G P Cromwell,2nd,2 3/4 l,2,9-0,-,True,121,8
Curragh Racing Results | 5th June 2024 17:20,N/A,17:20,Good (Good To Firm In Places),6f,Tunbridge Wells (IRE),R L Moore,0,A P O'Brien,1st,N/A,2,9-5,-,True,121,8
Curragh Racing Results | 5th June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),1m 4f,Comic Book,S Foley,0,Mrs J Harrington,NR,N/A,3,9-1,-,True,121,9
Curragh Racing Results | 5th June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),1m 4f,Starlight Legacy (IRE),C T Keane,0,N Meade,10th,3/4 l,3,9-1,-,True,121,9
Curragh Racing Results | 5th June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),1m 4f,I'm Flattered (IRE),L F Roche,0,P Roche,9th,12 l,4,10-2t1,-,True,121,9
Curragh Racing Results | 5th June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),1m 4f,Nosey Anna (IRE),J M Sheridan,0,D Hogan,8th,7 l,3,9-1,-,True,121,9
Curragh Racing Results | 5th June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),1m 4f,Saol Gaelach (IRE),R P Cleary,0,J S Bolger,7th,2 3/4 l,3,9-1,-,True,121,9
Curragh Racing Results | 5th June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),1m 4f,Inspire Hope (IRE),D McMonagle,0,J P O'Brien,6th,1/2 l,3,9-1,-,True,121,9
Curragh Racing Results | 5th June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),1m 4f,Alinta (IRE),W J Lee,0,P Twomey,5th,6 l,3,9-1,-,True,121,9
Curragh Racing Results | 5th June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),1m 4f,Ob La Di (IRE),B M Coen,0,J P Murtagh,4th,1/2 l,3,9-1,-,True,121,9
Curragh Racing Results | 5th June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),1m 4f,Yes Oui Si (IRE),S Foley,0,Mrs J Harrington,3rd,1 1/2 l,3,9-1,-,True,121,9
Curragh Racing Results | 5th June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),1m 4f,Mother Nature (IRE),R L Moore,0,A P O'Brien,2nd,Short Head,3,9-1,-,True,121,9
Curragh Racing Results | 5th June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),1m 4f,Grateful (IRE),W M Lordan,0,A P O'Brien,1st,N/A,3,9-1,-,True,121,9
Curragh Racing Results | 5th June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),1m 4f,Comic Book,S Foley,0,Mrs J Harrington,NR,N/A,3,9-1,-,True,121,9
Curragh Racing Results | 5th June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),1m 4f,Starlight Legacy (IRE),C T Keane,0,N Meade,10th,3/4 l,3,9-1,-,True,121,9
Curragh Racing Results | 5th June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),1m 4f,I'm Flattered (IRE),L F Roche,0,P Roche,9th,12 l,4,10-2t1,-,True,121,9
Curragh Racing Results | 5th June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),1m 4f,Nosey Anna (IRE),J M Sheridan,0,D Hogan,8th,7 l,3,9-1,-,True,121,9
Curragh Racing Results | 5th June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),1m 4f,Saol Gaelach (IRE),R P Cleary,0,J S Bolger,7th,2 3/4 l,3,9-1,-,True,121,9
Curragh Racing Results | 5th June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),1m 4f,Inspire Hope (IRE),D McMonagle,0,J P O'Brien,6th,1/2 l,3,9-1,-,True,121,9
Curragh Racing Results | 5th June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),1m 4f,Alinta (IRE),W J Lee,0,P Twomey,5th,6 l,3,9-1,-,True,121,9
Curragh Racing Results | 5th June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),1m 4f,Ob La Di (IRE),B M Coen,0,J P Murtagh,4th,1/2 l,3,9-1,-,True,121,9
Curragh Racing Results | 5th June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),1m 4f,Yes Oui Si (IRE),S Foley,0,Mrs J Harrington,3rd,1 1/2 l,3,9-1,-,True,121,9
Curragh Racing Results | 5th June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),1m 4f,Mother Nature (IRE),R L Moore,0,A P O'Brien,2nd,Short Head,3,9-1,-,True,121,9
Curragh Racing Results | 5th June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),1m 4f,Grateful (IRE),W M Lordan,0,A P O'Brien,1st,N/A,3,9-1,-,True,121,9
Curragh Racing Results | 5th June 2024 18:25,N/A,18:25,Good (Good To Firm In Places),5f,Verified (IRE),N G McCullagh,0,Charles Weld,11th,1 l,3,8-10b,76,True,121,10
Curragh Racing Results | 5th June 2024 18:25,N/A,18:25,Good (Good To Firm In Places),5f,Bella Colombia (IRE),N M Crosse,0,W McCreery,10th,1 3/4 l,3,9-3v,83,True,121,10
Curragh Racing Results | 5th June 2024 18:25,N/A,18:25,Good (Good To Firm In Places),5f,Alpha Cephei,J J G Ryan,5,D Marnane,9th,1 1/2 l,3,8-13,79,True,121,10
Curragh Racing Results | 5th June 2024 18:25,N/A,18:25,Good (Good To Firm In Places),5f,Air Force One (IRE),W J Lee,0,P Twomey,8th,Head,3,9-5v,85,True,121,10
Curragh Racing Results | 5th June 2024 18:25,N/A,18:25,Good (Good To Firm In Places),5f,Ringabella (IRE),W Joyce,5,K J Condon,7th,1 l,3,8-7tb1,73,True,121,10
Curragh Racing Results | 5th June 2024 18:25,N/A,18:25,Good (Good To Firm In Places),5f,Nikki Swango (IRE),W M Lordan,0,N Lupini,6th,1/2 l,3,8-13,79,True,121,10
Curragh Racing Results | 5th June 2024 18:25,N/A,18:25,Good (Good To Firm In Places),5f,Power Mode (USA),D P McDonogh,0,Daniel Murphy,5th,2 1/4 l,3,9-9b1,89,True,121,10
Curragh Racing Results | 5th June 2024 18:25,N/A,18:25,Good (Good To Firm In Places),5f,Buddy Batt (IRE),J A Powell,3,D J Bunyan,4th,3/4 l,3,8-10,76,True,121,10
Curragh Racing Results | 5th June 2024 18:25,N/A,18:25,Good (Good To Firm In Places),5f,Goal Exceeded,C T Keane,0,John O'Donoghue,3rd,1 3/4 l,3,9-5,85,True,121,10
Curragh Racing Results | 5th June 2024 18:25,N/A,18:25,Good (Good To Firm In Places),5f,Majestic Beauty,D McMonagle,0,A Murray,2nd,1/2 l,3,9-12,92,True,121,10
Curragh Racing Results | 5th June 2024 18:25,N/A,18:25,Good (Good To Firm In Places),5f,Kendall Roy,C D Hayes,0,Miss K McGivern,1st,N/A,3,9-0t,80,True,121,10
Curragh Racing Results | 5th June 2024 18:25,N/A,18:25,Good (Good To Firm In Places),5f,Verified (IRE),N G McCullagh,0,Charles Weld,11th,1 l,3,8-10b,76,True,121,10
Curragh Racing Results | 5th June 2024 18:25,N/A,18:25,Good (Good To Firm In Places),5f,Bella Colombia (IRE),N M Crosse,0,W McCreery,10th,1 3/4 l,3,9-3v,83,True,121,10
Curragh Racing Results | 5th June 2024 18:25,N/A,18:25,Good (Good To Firm In Places),5f,Alpha Cephei,J J G Ryan,5,D Marnane,9th,1 1/2 l,3,8-13,79,True,121,10
Curragh Racing Results | 5th June 2024 18:25,N/A,18:25,Good (Good To Firm In Places),5f,Air Force One (IRE),W J Lee,0,P Twomey,8th,Head,3,9-5v,85,True,121,10
Curragh Racing Results | 5th June 2024 18:25,N/A,18:25,Good (Good To Firm In Places),5f,Ringabella (IRE),W Joyce,5,K J Condon,7th,1 l,3,8-7tb1,73,True,121,10
Curragh Racing Results | 5th June 2024 18:25,N/A,18:25,Good (Good To Firm In Places),5f,Nikki Swango (IRE),W M Lordan,0,N Lupini,6th,1/2 l,3,8-13,79,True,121,10
Curragh Racing Results | 5th June 2024 18:25,N/A,18:25,Good (Good To Firm In Places),5f,Power Mode (USA),D P McDonogh,0,Daniel Murphy,5th,2 1/4 l,3,9-9b1,89,True,121,10
Curragh Racing Results | 5th June 2024 18:25,N/A,18:25,Good (Good To Firm In Places),5f,Buddy Batt (IRE),J A Powell,3,D J Bunyan,4th,3/4 l,3,8-10,76,True,121,10
Curragh Racing Results | 5th June 2024 18:25,N/A,18:25,Good (Good To Firm In Places),5f,Goal Exceeded,C T Keane,0,John O'Donoghue,3rd,1 3/4 l,3,9-5,85,True,121,10
Curragh Racing Results | 5th June 2024 18:25,N/A,18:25,Good (Good To Firm In Places),5f,Majestic Beauty,D McMonagle,0,A Murray,2nd,1/2 l,3,9-12,92,True,121,10
Curragh Racing Results | 5th June 2024 18:25,N/A,18:25,Good (Good To Firm In Places),5f,Kendall Roy,C D Hayes,0,Miss K McGivern,1st,N/A,3,9-0t,80,True,121,10
Curragh Racing Results | 5th June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),1m 6f,La Hacienda,J J G Ryan,5,M J Smith,11th,6 1/2 l,7,9-2p,90,True,121,11
Curragh Racing Results | 5th June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),1m 6f,Mt Leinster (IRE),D W O'Connor,0,J C McConnell,10th,10 l,10,9-5,93,True,121,11
Curragh Racing Results | 5th June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),1m 6f,Burren Song (IRE),B M Coen,0,Ciaran Murphy,9th,4 1/4 l,6,9-1,89,True,121,11
Curragh Racing Results | 5th June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),1m 6f,Ceallach (IRE),R P Whelan,0,M Halford & T Collins,8th,1 1/4 l,5,9-1t,89,True,121,11
Curragh Racing Results | 5th June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),1m 6f,Fairytale Princess (IRE),C T Keane,0,G M Lyons,7th,1 3/4 l,4,8-13,87,True,121,11
Curragh Racing Results | 5th June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),1m 6f,Dame Rapide (IRE),G M Ryan,0,J M Barrett,6th,6 1/2 l,7,9-7,95,True,121,11
Curragh Racing Results | 5th June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),1m 6f,Reina Del Mar (IRE),D McMonagle,0,J P O'Brien,5th,3/4 l,6,9-1t,89,True,121,11
Curragh Racing Results | 5th June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),1m 6f,Star Harbour (IRE),Adam Caffrey,5,A McGuinness,4th,1 1/2 l,6,9-8v,96,True,121,11
Curragh Racing Results | 5th June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),1m 6f,Serious Challenge (IRE),R P Cleary,0,J S Bolger,3rd,1 1/4 l,4,10-0,102,True,121,11
Curragh Racing Results | 5th June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),1m 6f,Tyson Fury,D King,5,D Hogan,2nd,Short Head,7,10-0p,102,True,121,11
Curragh Racing Results | 5th June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),1m 6f,Saturn (IRE),S Foley,0,Mrs J Harrington,1st,N/A,4,9-0t,88,True,121,11
Curragh Racing Results | 5th June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),1m 6f,La Hacienda,J J G Ryan,5,M J Smith,11th,6 1/2 l,7,9-2p,90,True,121,11
Curragh Racing Results | 5th June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),1m 6f,Mt Leinster (IRE),D W O'Connor,0,J C McConnell,10th,10 l,10,9-5,93,True,121,11
Curragh Racing Results | 5th June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),1m 6f,Burren Song (IRE),B M Coen,0,Ciaran Murphy,9th,4 1/4 l,6,9-1,89,True,121,11
Curragh Racing Results | 5th June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),1m 6f,Ceallach (IRE),R P Whelan,0,M Halford & T Collins,8th,1 1/4 l,5,9-1t,89,True,121,11
Curragh Racing Results | 5th June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),1m 6f,Fairytale Princess (IRE),C T Keane,0,G M Lyons,7th,1 3/4 l,4,8-13,87,True,121,11
Curragh Racing Results | 5th June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),1m 6f,Dame Rapide (IRE),G M Ryan,0,J M Barrett,6th,6 1/2 l,7,9-7,95,True,121,11
Curragh Racing Results | 5th June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),1m 6f,Reina Del Mar (IRE),D McMonagle,0,J P O'Brien,5th,3/4 l,6,9-1t,89,True,121,11
Curragh Racing Results | 5th June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),1m 6f,Star Harbour (IRE),Adam Caffrey,5,A McGuinness,4th,1 1/2 l,6,9-8v,96,True,121,11
Curragh Racing Results | 5th June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),1m 6f,Serious Challenge (IRE),R P Cleary,0,J S Bolger,3rd,1 1/4 l,4,10-0,102,True,121,11
Curragh Racing Results | 5th June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),1m 6f,Tyson Fury,D King,5,D Hogan,2nd,Short Head,7,10-0p,102,True,121,11
Curragh Racing Results | 5th June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),1m 6f,Saturn (IRE),S Foley,0,Mrs J Harrington,1st,N/A,4,9-0t,88,True,121,11
Curragh Racing Results | 5th June 2024 19:30,N/A,19:30,Good (Good To Firm In Places),6f 63y,Dc Diva,D McMonagle,0,Kevin Coleman,NR,N/A,3,9-3,-,True,121,12
Curragh Racing Results | 5th June 2024 19:30,N/A,19:30,Good (Good To Firm In Places),6f 63y,Prince Of Eyeries (IRE),W J Lee,0,K J Condon,NR,N/A,3,9-8,-,True,121,12
Curragh Racing Results | 5th June 2024 19:30,N/A,19:30,Good (Good To Firm In Places),6f 63y,Mighty Brave (IRE),O McSweeney,3,L Comer,18th,22 l,4,10-2t1,-,True,121,12
Curragh Racing Results | 5th June 2024 19:30,N/A,19:30,Good (Good To Firm In Places),6f 63y,Eccellente,Neve Bennett,7,D J Bunyan,17th,1 l,3,9-3,-,True,121,12
Curragh Racing Results | 5th June 2024 19:30,N/A,19:30,Good (Good To Firm In Places),6f 63y,Leni Mo (IRE),R C Colgan,0,A Kinirons,16th,Nose,3,9-3h,-,True,121,12
Curragh Racing Results | 5th June 2024 19:30,N/A,19:30,Good (Good To Firm In Places),6f 63y,Making A Move (IRE),M P Sheehy,0,J M Burke,15th,3 1/4 l,4,10-2h,-,True,121,12
Curragh Racing Results | 5th June 2024 19:30,N/A,19:30,Good (Good To Firm In Places),6f 63y,Adam's Boy (IRE),C Martins,0,M J Browne,14th,3/4 l,4,10-2p1,-,True,121,12
Curragh Racing Results | 5th June 2024 19:30,N/A,19:30,Good (Good To Firm In Places),6f 63y,Never Thought (IRE),L F Roche,0,J P Fahey,13th,3 l,3,9-3,-,True,121,12
Curragh Racing Results | 5th June 2024 19:30,N/A,19:30,Good (Good To Firm In Places),6f 63y,Set To Win (IRE),N M Crosse,0,L Comer,12th,1 3/4 l,3,9-3,-,True,121,12
Curragh Racing Results | 5th June 2024 19:30,N/A,19:30,Good (Good To Firm In Places),6f 63y,Speedwood (FR),C D Hayes,0,E & P Harty,11th,1/2 l,3,9-8,-,True,121,12
Curragh Racing Results | 5th June 2024 19:30,N/A,19:30,Good (Good To Firm In Places),6f 63y,It's A Gamble (IRE),M W Hassett,5,B Nolan,10th,1 3/4 l,3,9-3,-,True,121,12
Curragh Racing Results | 5th June 2024 19:30,N/A,19:30,Good (Good To Firm In Places),6f 63y,Sir Sagacious (IRE),J A Heffernan,0,W P Browne,9th,2 1/4 l,3,9-8,-,True,121,12
Curragh Racing Results | 5th June 2024 19:30,N/A,19:30,Good (Good To Firm In Places),6f 63y,Ace In The Pack (IRE),J Cleary,7,K Prendergast,8th,1/2 l,3,9-8,-,True,121,12
Curragh Racing Results | 5th June 2024 19:30,N/A,19:30,Good (Good To Firm In Places),6f 63y,Moltophino (IRE),C D Maxwell,0,J A Kinsella,7th,Neck,3,9-8,-,True,121,12
Curragh Racing Results | 5th June 2024 19:30,N/A,19:30,Good (Good To Firm In Places),6f 63y,Blue Balle,R P Whelan,0,W Ross,6th,1 1/2 l,3,9-8,-,True,121,12
Curragh Racing Results | 5th June 2024 19:30,N/A,19:30,Good (Good To Firm In Places),6f 63y,Four Blondes (IRE),S Foley,0,R O'Sullivan,5th,1/2 l,3,9-3,-,True,121,12
Curragh Racing Results | 5th June 2024 19:30,N/A,19:30,Good (Good To Firm In Places),6f 63y,Gaenari (IRE),G M Ryan,0,D Dias,4th,4 l,3,9-3,-,True,121,12
Curragh Racing Results | 5th June 2024 19:30,N/A,19:30,Good (Good To Firm In Places),6f 63y,Beatrix Power (IRE),J J G Ryan,5,E Lynam,3rd,2 l,3,9-3,-,True,121,12
Curragh Racing Results | 5th June 2024 19:30,N/A,19:30,Good (Good To Firm In Places),6f 63y,Yefimenko (IRE),C T Keane,0,G M Lyons,2nd,1/2 l,3,9-3,-,True,121,12
Curragh Racing Results | 5th June 2024 19:30,N/A,19:30,Good (Good To Firm In Places),6f 63y,Ojw Legacy (IRE),A J Slattery,0,A Slattery,1st,N/A,3,9-3,-,True,121,12
Curragh Racing Results | 5th June 2024 19:30,N/A,19:30,Good (Good To Firm In Places),6f 63y,Dc Diva,D McMonagle,0,Kevin Coleman,NR,N/A,3,9-3,-,True,121,12
Curragh Racing Results | 5th June 2024 19:30,N/A,19:30,Good (Good To Firm In Places),6f 63y,Prince Of Eyeries (IRE),W J Lee,0,K J Condon,NR,N/A,3,9-8,-,True,121,12
Curragh Racing Results | 5th June 2024 19:30,N/A,19:30,Good (Good To Firm In Places),6f 63y,Mighty Brave (IRE),O McSweeney,3,L Comer,18th,22 l,4,10-2t1,-,True,121,12
Curragh Racing Results | 5th June 2024 19:30,N/A,19:30,Good (Good To Firm In Places),6f 63y,Eccellente,Neve Bennett,7,D J Bunyan,17th,1 l,3,9-3,-,True,121,12
Curragh Racing Results | 5th June 2024 19:30,N/A,19:30,Good (Good To Firm In Places),6f 63y,Leni Mo (IRE),R C Colgan,0,A Kinirons,16th,Nose,3,9-3h,-,True,121,12
Curragh Racing Results | 5th June 2024 19:30,N/A,19:30,Good (Good To Firm In Places),6f 63y,Making A Move (IRE),M P Sheehy,0,J M Burke,15th,3 1/4 l,4,10-2h,-,True,121,12
Curragh Racing Results | 5th June 2024 19:30,N/A,19:30,Good (Good To Firm In Places),6f 63y,Adam's Boy (IRE),C Martins,0,M J Browne,14th,3/4 l,4,10-2p1,-,True,121,12
Curragh Racing Results | 5th June 2024 19:30,N/A,19:30,Good (Good To Firm In Places),6f 63y,Never Thought (IRE),L F Roche,0,J P Fahey,13th,3 l,3,9-3,-,True,121,12
